evidence_set_id,source_class_scope,artifact_path,artifact_type,availability,sha256,contract_class_coverage,raw_evidence_retained,conclusion,status,duplicate_work_risk
R4-PREV-DIVE-EBRE,DIVE ExternalBug/Reentrancy,data_module/audit/2026-06-18_dive_crosswalk_sample_validation.md,manual_review,AVAILABLE_VERIFIED,e2071d7b525db22ba98e10dd08eb422ee0f2cdddaa7959af9e4347a70c62a0d0,75 EB + 75 RE (seed=42),YES (per-contract TP/FP tables with reasons),Folder TP rates: EB 5.3% RE 4.2%. Prior DROP recommendation for DIVE EB/RE labels.,TO_RECOVER,HIGH
R4-PREV-DIVE-SLITHER,DIVE ExternalBug/Reentrancy,data_module/audit/2026-06-18_dive_slither_agreed_subset_validation.md,manual_review,AVAILABLE_VERIFIED,32a0a84cc3f2acf120f6ed5a59b142499998143776097368f8883065ac2af0d9,100 EB + 75 RE (seed=7) DIVE-Slither agreed subset,YES (per-contract TP/FP criteria + verdicts),Second-round review of DIVE-Slither agreed subset.,TO_RECOVER,HIGH
R4-PREV-DIVE-CORROB,DIVE ExternalBug/Reentrancy,data_module/audit/2026-06-18_dive_externalbug_reentrancy_slither_corroboration.json,tool_corroboration,AVAILABLE_VERIFIED,01c22e50127b530614f7c6165e7ca97481ead96eafd615a2ae7f992e1a60aa3c,6804 EB agreed (42.7%) 8258 RE agreed (75.0%),YES (agreed_shas lists),Slither corroboration of DIVE automated labels.,TO_RECOVER,MEDIUM
R4-PREV-DIVE-ADERYN1,DIVE ExternalBug/Reentrancy,data_module/audit/2026-06-18_dive_aderyn_per_contract_v1.json,tool_output,AVAILABLE_UNVERIFIED,,573 contracts,YES (per-contract Aderyn outputs),Aderyn per-contract results on DIVE subset.,TO_RECOVER,MEDIUM
R4-PREV-DIVE-ADERYN2,DIVE ExternalBug/Reentrancy,data_module/audit/2026-06-18_dive_aderyn_on_slither_disagreed_v1.json,tool_output,AVAILABLE_UNVERIFIED,,Disagreed subset,YES (Aderyn on disagreed subset),Aderyn run on Slither-disagreed DIVE subset.,TO_RECOVER,MEDIUM
R4-PREV-DIVE-SLITHER-CACHE,DIVE all classes,data_module/data/slither_cache/dive/,tool_output,AVAILABLE_UNVERIFIED,,17287 .slither.json files,YES,Slither per-contract outputs for DIVE.,TO_RECOVER,LOW
R4-PREV-DIVE-ADERYN-CACHE,DIVE all classes,data_module/data/aderyn_cache/dive/,tool_output,AVAILABLE_UNVERIFIED,,573 .aderyn.json files,YES,Aderyn per-contract outputs for DIVE.,TO_RECOVER,LOW
R4-PREV-DIVE-LABELS,DIVE all classes,data_module/data/raw_staging/dive_labels/DIVE_Labels.csv,source_labels,AVAILABLE_VERIFIED,a260946ec7741ca4212648a0568f419a32e7cac96c9c0dca1fe3d812bb43f029,22330 rows (8 DASP classes),YES (original automated CSV),Source-native automated multi-label CSV.,TO_RECOVER,LOW
R4-PREV-DIVE-OTHER,DIVE Arithmetic/DoS/UncheckedReturn/TimeManip/BadRandom/FrontRunning,—,manual_review,UNAVAILABLE,,0 classes reviewed,NO,No per-class review artifacts for non-EB/RE DIVE classes.,UNAVAILABLE,HIGH
R4-PREV-DIVE-TMP,DIVE EB/RE sample lists,/tmp/Access_Control_sample.txt etc.,sample_manifest,UNAVAILABLE,,Sample membership,NO (temp files not committed),Sample lists not in repo. Membership recoverable from md tables + seeds 42/7.,UNAVAILABLE,LOW
R4-PREV-DIVE-2NDREVIEW,DIVE all reviewed,Second independent reviewer sign-off,manual_review,UNAVAILABLE,,—,NO,Both DIVE review mds are single-author; no second-reviewer file.,UNAVAILABLE,MEDIUM
R4-PREV-BCCC,BCCC all classes,data_module/docs/legacy/bccc_deep_dive/,deep_dive,AVAILABLE_VERIFIED,a0ac01a9b1aa7b80b9ee1c9dd7bc638467360860118cb854818b10fd22ca1816,Full 5-phase (integrity/validation/analysis/label-validation/verification),YES (CSVs parquet scripts class-definitions review-batches),Reentrancy 89% FP CallToUnknown 86.9% FP. v1.4 verified labels produced.,TO_RECOVER,HIGH
R4-PREV-BCCC-V14,BCCC all classes,data_module/docs/legacy/bccc_deep_dive/Phase5_LabelVerification_2026-06-08/outputs/contracts_clean_v1.4.csv,verified_labels,AVAILABLE_VERIFIED,93ec9ec7011fe0851d67fff10dbd75777f71d05cba090500b12c3df071e2098a,All 10 BCCC classes,YES,BCCC Phase 5 verified labels (the config-referenced verified_labels file).,TO_RECOVER,HIGH
R4-PREV-BCCC-2TOOL,BCCC 2-tool consensus,data_module/benchmarks/sources/tier_c_bccc_2tool/,benchmark,AVAILABLE_UNVERIFIED,,—,NO (patterns/ and results/ empty),consensus.py exists but run never executed.,TO_RECOVER,MEDIUM
R4-PREV-BCCC-MEMORY,BCCC 2-tool audit memory,~/.claude/projects/.../memory/project_bccc_2tool_audit_2026-06-14.md,audit_memory,UNAVAILABLE,,658 ME contracts finding,NO,File lives outside the repo in Claude memory directory.,UNAVAILABLE,LOW
R4-PREV-SOLIDIFI,SolidiFI all classes,ml/data/SolidiFI/ + ml/data/SolidiFI-benchmark/,source_framework,AVAILABLE_UNVERIFIED,,7 vuln types,YES (injection framework + tool results),ISSTA 2020 injection benchmark with 100% ground-truth certainty.,TO_RECOVER,LOW
R4-PREV-SOLIDIFI-LBL,SolidiFI all classes,data_module/data/labels/solidifi/,source_labels,AVAILABLE_UNVERIFIED,,283 .labels.json,YES,Per-contract generated labels.,TO_RECOVER,LOW
R4-PREV-SMARTBUGS-CUR,SmartBugs Curated all classes,ml/data/smartbugs-curated/dataset/,source_corpus,AVAILABLE_UNVERIFIED,,143 hand-labeled contracts,YES (vulnerabilities.json),143 hand-labeled DASP contracts (ICSE 2020).,TO_RECOVER,LOW
R4-PREV-SMARTBUGS-RECALL,SmartBugs Curated,data_module/data/verification/smartbugs_curated_recall_test/report.json,verification_report,AVAILABLE_VERIFIED,6f97760897fa4c9363e441e505dde102fd18178dd94e345f4f7a059dea50138c,143 contracts,YES,94.4% aggregate recall gate evidence.,TO_RECOVER,LOW
R4-PREV-SMARTBUGS-WILD,SmartBugs Wild,ml/data/smartbugs-wild/,source_corpus,AVAILABLE_UNVERIFIED,,47K contracts,YES (results_wild.json),47K mainnet contracts (pretraining only; 97% FP as labeled).,TO_RECOVER,LOW
R4-PREV-WEB3BUGS,Web3Bugs all classes,—,source_corpus,UNAVAILABLE,,~3500 contest-verified bugs,NO,No data/crosswalk/parser/connector exists. Declared Tier-1 Gold but never acquired.,UNAVAILABLE,HIGH
R4-PREV-DEFIHACKLABS,DeFiHackLabs,data_module/data/preprocessed/defihacklabs/,source_corpus,AVAILABLE_UNVERIFIED,,47 preprocessed (715 dropped),PARTIAL (23/738 processed),Foundry project; forge-std imports prevent solc compilation. DEFERRED to v2.1.,TO_RECOVER,MEDIUM
R4-PREV-MANUAL,Manual hand-written,manual_hand_written_contracts/,manual_review,AVAILABLE_UNVERIFIED,,83 .sol + 83 .json across 11 classes,YES,Hand-written contract library with paired labels.,TO_RECOVER,LOW
R4-PREV-MANUAL-BCCC,bccc_injected,manual_hand_written_contracts/bccc_injected/,manual_review,AVAILABLE_UNVERIFIED,,6 injected-style contracts,YES,BCCC-style injected contracts for testing.,TO_RECOVER,LOW
R4-PREV-AI-REPORTS,AI audit reports,agents/test_audit_reports/,ai_review_output,AVAILABLE_UNVERIFIED,,22 report JSONs over manual corpus,YES,AI-agent audit runs over manual_hand_written_contracts corpus.,TO_RECOVER,LOW
R4-PREV-BENCHMARK,Benchmark case studies,data_module/benchmarks/benchmark_v0.1_quickstart/,benchmark,AVAILABLE_VERIFIED,dd627f7012087b54b81855ade0273e43629df7d3ce9cb55da61b4227d26cf34f,66 contracts 5-tier OOD,YES,66-contract 0%-contamination quickstart benchmark.,TO_RECOVER,LOW
R4-PREV-ECHIDNA,Echidna tool outputs,—,tool_output,UNAVAILABLE,,—,NO,No echidna cache or results found anywhere in repo.,UNAVAILABLE,LOW
R4-PREV-EXPLOIT-POC,Exploit reproductions,—,exploit_reproduction,UNAVAILABLE,,—,NO,No Foundry/Hardhat vulnerability PoC test files. contracts/test/ has only AuditRegistry/Token tests.,UNAVAILABLE,LOW
R4-PREV-DATA-AUDIT,Data module audit,data_module/2026-06-13_DATA_MODULE_AUDIT_v2_45pct_leakage_finding.md,audit_report,AVAILABLE_VERIFIED,a8c1cde25f7928e607e0c83b1f60e2a16df330f83cba3b4cd27c39197fe7c405,45% leakage + DoS patch,YES,Documents 45% leakage finding and DoS/Reentrancy co-occurrence patch (2655 DoS zeroed).,TO_RECOVER,LOW
R4-PREV-CROSSWALKS,Crosswalks (4 of 5),data_module/sentinel_data/labeling/crosswalks/,pipeline_config,AVAILABLE_UNVERIFIED,,dive solidifi smartbugs_curated defihacklabs,YES,4 crosswalk YAMLs exist; web3bugs.yaml is UNAVAILABLE.,TO_RECOVER,LOW
